SettlementPoint,Average Price,Month,Year
HB_WEST,24.708555555555577,June,2019
HB_WEST,15.871668909825038,March,2016
HB_WEST,19.813593539703888,March,2017
HB_WEST,20.3336204576043,March,2018
HB_WEST,25.66967698519515,March,2019
HB_WEST,17.337674731182776,May,2016
HB_WEST,22.166612903225815,May,2017
HB_WEST,27.692016129032254,May,2018
HB_WEST,22.70266129032257,May,2019
HB_WEST,18.778416666666644,November,2016
HB_WEST,21.00179166666666,November,2017
HB_WEST,28.715250000000026,November,2018
HB_WEST,21.66026388888888,November,2019
HB_WEST,24.113938172042996,October,2016
HB_WEST,21.693830645161306,October,2017
HB_WEST,28.76133064516124,October,2018
HB_WEST,24.668131720430107,October,2019
HB_WEST,26.354250000000036,September,2016
HB_WEST,22.678819444444443,September,2017
HB_WEST,26.139597222222196,September,2018
HB_WEST,78.42925000000012,September,2019
LZ_AEN,18.25606944444444,April,2016
LZ_AEN,24.118083333333328,April,2017
LZ_AEN,22.18848611111112,April,2018
LZ_AEN,23.270347222222245,April,2019
LZ_AEN,30.699516129032325,August,2016
LZ_AEN,27.465618279569895,August,2017
LZ_AEN,31.732137096774153,August,2018
LZ_AEN,126.52692204301066,August,2019
LZ_AEN,25.870174731182786,December,2016
LZ_AEN,21.062930107526874,December,2017
LZ_AEN,30.094758064516125,December,2018
LZ_AEN,19.05170698924731,December,2019
LZ_AEN,15.448290229885073,February,2016
LZ_AEN,20.605327380952374,February,2017
LZ_AEN,21.913883928571398,February,2018
LZ_AEN,21.51380952380956,February,2019
LZ_AEN,19.324663978494627,January,2016
LZ_AEN,23.40447580645163,January,2017
LZ_AEN,38.83798387096776,January,2018
LZ_AEN,25.107956989247317,January,2019
LZ_AEN,27.976102150537606,July,2016
LZ_AEN,31.40143817204301,July,2017
LZ_AEN,78.95137096774195,July,2018
LZ_AEN,29.709086021505378,July,2019
LZ_AEN,24.2375138888889,June,2016
LZ_AEN,27.91663888888888,June,2017
LZ_AEN,30.28612499999999,June,2018
LZ_AEN,24.416791666666676,June,2019
LZ_AEN,16.855074024226113,March,2016
LZ_AEN,22.99701211305518,March,2017
LZ_AEN,22.202826379542397,March,2018
LZ_AEN,27.74218034993274,March,2019
LZ_AEN,18.12490591397849,May,2016
LZ_AEN,25.293844086021508,May,2017
LZ_AEN,33.166169354838736,May,2018
LZ_AEN,24.676236559139774,May,2019
LZ_AEN,19.640041666666637,November,2016
LZ_AEN,23.019444444444446,November,2017
LZ_AEN,30.468083333333325,November,2018
LZ_AEN,24.408013888888913,November,2019
LZ_AEN,25.622903225806493,October,2016
LZ_AEN,24.01990591397848,October,2017
LZ_AEN,30.310000000000006,October,2018
LZ_AEN,29.280443548387094,October,2019
LZ_AEN,26.710861111111146,September,2016
LZ_AEN,24.628805555555562,September,2017
LZ_AEN,27.16730555555553,September,2018
LZ_AEN,80.16959722222228,September,2019
LZ_CPS,19.069361111111103,April,2016
LZ_CPS,25.337902777777774,April,2017
LZ_CPS,26.535375000000013,April,2018
LZ_CPS,25.363597222222218,April,2019
LZ_CPS,31.30657258064518,August,2016
LZ_CPS,28.13756720430108,August,2017
LZ_CPS,31.865685483871015,August,2018
LZ_CPS,127.69620967741939,August,2019
LZ_CPS,26.596424731182818,December,2016
LZ_CPS,22.04837365591397,December,2017
LZ_CPS,30.309220430107572,December,2018
LZ_CPS,19.997862903225816,December,2019
LZ_CPS,15.520014367816108,February,2016
LZ_CPS,20.919479166666655,February,2017
LZ_CPS,22.517395833333318,February,2018
LZ_CPS,24.11011904761902,February,2019
LZ_CPS,19.3538440860215,January,2016
LZ_CPS,23.772567204301065,January,2017
LZ_CPS,41.312876344086014,January,2018
LZ_CPS,26.798333333333357,January,2019
LZ_CPS,27.967956989247316,July,2016
LZ_CPS,32.1152956989247,July,2017
LZ_CPS,79.12443548387105,July,2018
LZ_CPS,30.667177419354825,July,2019
LZ_CPS,24.958069444444472,June,2016
LZ_CPS,30.41599999999999,June,2017
LZ_CPS,30.727277777777783,June,2018
LZ_CPS,26.391291666666703,June,2019
LZ_CPS,16.898183041722756,March,2016
LZ_CPS,23.861547779273234,March,2017
LZ_CPS,25.289273216689107,March,2018
LZ_CPS,29.351695827725433,March,2019
LZ_CPS,18.479865591397857,May,2016
LZ_CPS,26.537029569892443,May,2017
LZ_CPS,36.05559139784947,May,2018
LZ_CPS,26.246075268817183,May,2019
LZ_CPS,21.71466666666668,November,2016
LZ_CPS,23.572569444444426,November,2017
LZ_CPS,32.041208333333316,November,2018
LZ_CPS,25.57513888888891,November,2019
LZ_CPS,26.250295698924717,October,2016
LZ_CPS,25.275954301075267,October,2017
LZ_CPS,31.635967741935485,October,2018
LZ_CPS,33.553602150537664,October,2019
LZ_CPS,28.130249999999958,September,2016
LZ_CPS,25.136652777777797,September,2017
LZ_CPS,27.512986111111136,September,2018
LZ_CPS,82.43634722222212,September,2019
LZ_HOUSTON,19.128930555555566,April,2016
LZ_HOUSTON,32.96706944444447,April,2017
LZ_HOUSTON,24.728347222222226,April,2018
LZ_HOUSTON,24.264583333333338,April,2019
LZ_HOUSTON,33.56354838709678,August,2016
LZ_HOUSTON,30.031478494623677,August,2017
LZ_HOUSTON,32.159623655913954,August,2018
LZ_HOUSTON,126.69338709677426,August,2019
LZ_HOUSTON,25.736841397849467,December,2016
LZ_HOUSTON,21.979784946236585,December,2017
LZ_HOUSTON,30.462069892473117,December,2018
LZ_HOUSTON,18.919852150537647,December,2019
LZ_HOUSTON,15.487988505747138,February,2016
LZ_HOUSTON,23.517217261904765,February,2017
LZ_HOUSTON,22.375848214285735,February,2018
LZ_HOUSTON,21.644255952380963,February,2019
LZ_HOUSTON,19.563938172043017,January,2016
LZ_HOUSTON,24.827365591397836,January,2017
LZ_HOUSTON,38.044986559139794,January,2018
LZ_HOUSTON,25.55008064516131,January,2019
LZ_HOUSTON,29.91186827956986,July,2016
LZ_HOUSTON,34.72583333333334,July,2017
LZ_HOUSTON,79.56653225806457,July,2018
LZ_HOUSTON,30.013064516129045,July,2019
LZ_HOUSTON,29.915083333333325,June,2016
LZ_HOUSTON,33.668916666666625,June,2017
LZ_HOUSTON,31.80234722222222,June,2018
LZ_HOUSTON,27.2267361111111,June,2019
LZ_HOUSTON,17.206729475100946,March,2016
LZ_HOUSTON,28.742005383580064,March,2017
LZ_HOUSTON,23.933458950201892,March,2018
LZ_HOUSTON,28.080323014804854,March,2019
LZ_HOUSTON,19.903991935483887,May,2016
LZ_HOUSTON,32.36264784946243,May,2017
LZ_HOUSTON,35.53303763440861,May,2018
LZ_HOUSTON,25.153615591397852,May,2019
LZ_HOUSTON,20.437680555555556,November,2016
LZ_HOUSTON,26.33962499999996,November,2017
LZ_HOUSTON,31.730333333333313,November,2018
LZ_HOUSTON,24.18161111111111,November,2019
LZ_HOUSTON,28.545819892473133,October,2016
LZ_HOUSTON,31.339381720430104,October,2017
LZ_HOUSTON,31.781115591397857,October,2018
LZ_HOUSTON,30.642379032258074,October,2019
LZ_HOUSTON,29.032680555555544,September,2016
LZ_HOUSTON,27.41002777777777,September,2017
LZ_HOUSTON,27.722416666666632,September,2018
LZ_HOUSTON,80.77929166666665,September,2019
LZ_LCRA,18.39270833333334,April,2016
LZ_LCRA,24.477416666666684,April,2017
LZ_LCRA,22.644027777777783,April,2018
LZ_LCRA,23.31476388888888,April,2019
